draw,mu_1,sigma
216,0.025131631642580032,0.4528355300426483
217,-0.004027741029858589,0.4005988836288452
218,0.014187236316502094,0.44387316703796387
219,0.044857341796159744,0.437156081199646
220,-0.04539032280445099,0.4576587975025177
221,0.06364859640598297,0.44179561734199524
222,-0.026205597445368767,0.459958016872406
223,0.028638239949941635,0.49664613604545593
224,0.030892547219991684,0.42871129512786865
225,0.02742030657827854,0.48082610964775085
226,0.005666989833116531,0.42535972595214844
227,0.001625344157218933,0.4185425341129303
228,-0.019698625430464745,0.45208871364593506
229,0.05245336890220642,0.41410550475120544
230,0.07142148166894913,0.46182286739349365
231,0.05788954347372055,0.45695316791534424
232,0.03251609578728676,0.4811517298221588
233,-0.01922229863703251,0.47997230291366577
234,0.05561567842960358,0.4700210690498352
235,0.0033349674195051193,0.4745725691318512
236,0.016295891255140305,0.4331720471382141
237,0.06754743307828903,0.46483489871025085
238,0.03687383234500885,0.4546545743942261
239,0.06027727574110031,0.436057984828949
240,0.0719255581498146,0.4200424551963806
241,0.049776703119277954,0.43470945954322815
242,0.08399602025747299,0.44919630885124207
243,0.03482154756784439,0.42260897159576416
244,0.04901120811700821,0.44596654176712036
245,0.019355408847332,0.422627329826355
246,0.012989446520805359,0.4692540466785431
247,0.024816051125526428,0.4331405460834503
248,0.05522536486387253,0.45141804218292236
249,0.02235807478427887,0.4491695463657379
250,0.004183277487754822,0.4025815427303314
251,0.03097565285861492,0.41918331384658813
252,0.046103328466415405,0.44595471024513245
253,0.0413430780172348,0.4392027258872986
254,0.026629960164427757,0.4734882116317749
255,0.021664194762706757,0.4448252320289612
256,0.014356322586536407,0.43053704500198364
257,-0.017895212396979332,0.43677064776420593
258,-0.001447964459657669,0.39594927430152893
259,0.07186555862426758,0.4397262930870056
260,0.01878078654408455,0.4694804847240448
261,-0.003289414569735527,0.4210053086280823
262,0.04963366687297821,0.45199018716812134
263,0.07840043306350708,0.4553779065608978
264,0.03508957847952843,0.409965842962265
265,-0.013502849265933037,0.49467840790748596
